과목명,강의 내용,원래 가격,직무,일치율
[입문] Qt 6 프로그래밍 2편,이번 강의는 Qt 프로그래밍 1편에 이어서 2편 강의 입니다. Qt를 처음 접하시는 분들은 1편을 먼저 학습하시고 2편을 학습하는 것을 권장합니다.,무료,게임 기획자,49.201%
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,
유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",무료,게임개발자,98.565%
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,
유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",무료,웹 개발자,69.145%
새싹부터 시작하는 Unity 게임 개발,"해당 강의를 통해서 수강생분들은 컴퓨터 이론의 기초와,
유니티 게임 개발의 필수 과정들을 배울 수 있습니다.",무료,게임 기획자,67.313%
예제로 뿌수는 코틀린 Kotlin 76제,"76개의 예제로 실습하며 공부하는 코틀린 Kotlin 프로그래밍 언어. 당장 내일부터 코틀린으로 개발해야 하는데, 차근히 문법을 공부할 여유가 없나요? 이 강의에서 알려드리는 예제로 빠르게 코틀린의 모든 문법을 알아봅시다.",무료,모바일 앱 개발,56.506%
예제로 뿌수는 코틀린 Kotlin 76제,"76개의 예제로 실습하며 공부하는 코틀린 Kotlin 프로그래밍 언어. 당장 내일부터 코틀린으로 개발해야 하는데, 차근히 문법을 공부할 여유가 없나요? 이 강의에서 알려드리는 예제로 빠르게 코틀린의 모든 문법을 알아봅시다.",무료,인공지능,48.529%
예제로 뿌수는 코틀린 Kotlin 76제,"76개의 예제로 실습하며 공부하는 코틀린 Kotlin 프로그래밍 언어. 당장 내일부터 코틀린으로 개발해야 하는데, 차근히 문법을 공부할 여유가 없나요? 이 강의에서 알려드리는 예제로 빠르게 코틀린의 모든 문법을 알아봅시다.",무료,웹 개발자,39.530%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,VR/AR 개발자,78.022%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,앱 개발자,65.082%
비전공자도 쉽게 시작하는 증강현실(AR)로 나만의 고양이 만들기,간단한 코딩으로 구현하는 AR 증강현실 앱 구현하기,무료,게임개발자,46.038%
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료,앱 개발자,96.948%
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료,모바일 앱 개발,68.315%
따라하면서 배우는 Power Apps,엑셀의 함수 정도만 알고 있으면 Power Apps를 활용하여 누구나 손쉽게 앱을 만들어서 현업에 사용할 수 있는 방법을 설명합니다. Power App의 개념을 이해하고 다양한 컨트롤과 꼭 필요한 함수를 따라하면서 익힐 수 있습니다.,무료,사이버 침해 대응,59.200%
초보자를 위한 Dart Practice,"Flutter 개발을 하려면 Dart를 알아야 합니다. Dart의 꼭 필요한 내용만 콕콕 집어 연습하고, 익히는 과정입니다.",무료,게임개발자,91.345%
초보자를 위한 Dart Practice,"Flutter 개발을 하려면 Dart를 알아야 합니다. Dart의 꼭 필요한 내용만 콕콕 집어 연습하고, 익히는 과정입니다.",무료,웹 개발자,79.249%
초보자를 위한 Dart Practice,"Flutter 개발을 하려면 Dart를 알아야 합니다. Dart의 꼭 필요한 내용만 콕콕 집어 연습하고, 익히는 과정입니다.",무료,앱 개발자,73.777%
Glide를 활용한 노코드 프로토타이핑의 기초,"노코드 (No-code)로 예약 서비스, 매칭 서비스, 커뮤니티 서비스의 프로토타입을 만들 수 있게 됩니다.",무료,스마트 기술,65.212%
Glide를 활용한 노코드 프로토타이핑의 기초,"노코드 (No-code)로 예약 서비스, 매칭 서비스, 커뮤니티 서비스의 프로토타입을 만들 수 있게 됩니다.",무료,게임 기획자,47.118%
Glide를 활용한 노코드 프로토타이핑의 기초,"노코드 (No-code)로 예약 서비스, 매칭 서비스, 커뮤니티 서비스의 프로토타입을 만들 수 있게 됩니다.",무료,게임개발자,46.583%
Only Javascript만으로 배우는 하이브리드앱 패키징,본 강의는 웹 서비스 개발 기술인 Javascript를 사용하여 모바일 환경의 여러 가지 네이티브 앱 기능을 빠르게 만들 수 있는 방법에 대해 배우고 스토어 출시 과정까지 학습할 수 있는 강의입니다.,무료,모바일 앱 개발,99.210%
Only Javascript만으로 배우는 하이브리드앱 패키징,본 강의는 웹 서비스 개발 기술인 Javascript를 사용하여 모바일 환경의 여러 가지 네이티브 앱 기능을 빠르게 만들 수 있는 방법에 대해 배우고 스토어 출시 과정까지 학습할 수 있는 강의입니다.,무료,웹 개발자,97.515%
Only Javascript만으로 배우는 하이브리드앱 패키징,본 강의는 웹 서비스 개발 기술인 Javascript를 사용하여 모바일 환경의 여러 가지 네이티브 앱 기능을 빠르게 만들 수 있는 방법에 대해 배우고 스토어 출시 과정까지 학습할 수 있는 강의입니다.,무료,앱 개발자,97.437%
Kotlin 문법 총 정리 - 1시간,1시간 안에 학습할 수 있는 코틀린 문법 총 정리 강의입니다.,무료,게임개발자,20.421%
Kotlin 문법 총 정리 - 1시간,1시간 안에 학습할 수 있는 코틀린 문법 총 정리 강의입니다.,무료,데브옵스 엔지니어,15.041%
Kotlin 문법 총 정리 - 1시간,1시간 안에 학습할 수 있는 코틀린 문법 총 정리 강의입니다.,무료,게임 기획자,12.768%
앱 인벤터 창의융합프로젝트 (App Inventor),"코딩, 개발에 흥미있는 디지털 인재라면? 앱 인벤터를 통해 블록코딩에 입문해보자!",무료,앱 개발자,99.101%
앱 인벤터 창의융합프로젝트 (App Inventor),"코딩, 개발에 흥미있는 디지털 인재라면? 앱 인벤터를 통해 블록코딩에 입문해보자!",무료,웹 개발자,88.009%
앱 인벤터 창의융합프로젝트 (App Inventor),"코딩, 개발에 흥미있는 디지털 인재라면? 앱 인벤터를 통해 블록코딩에 입문해보자!",무료,모바일 앱 개발,87.550%
PWA 시작하기 - 웹 기술로 앱을 만들자,"Web 기술로 오프라인 환경에서 작동하는 App 을 만들 수 있습니다. 프로그레시브 웹 앱이 발전해온 시대적 배경과 주요 특징을 배우고, 주요 기술들로 실제 프로그레시브 웹 앱을 만들어보세요.","₩55,000",웹 개발자,88.388%
PWA 시작하기 - 웹 기술로 앱을 만들자,"Web 기술로 오프라인 환경에서 작동하는 App 을 만들 수 있습니다. 프로그레시브 웹 앱이 발전해온 시대적 배경과 주요 특징을 배우고, 주요 기술들로 실제 프로그레시브 웹 앱을 만들어보세요.","₩55,000",앱 개발자,76.099%
PWA 시작하기 - 웹 기술로 앱을 만들자,"Web 기술로 오프라인 환경에서 작동하는 App 을 만들 수 있습니다. 프로그레시브 웹 앱이 발전해온 시대적 배경과 주요 특징을 배우고, 주요 기술들로 실제 프로그레시브 웹 앱을 만들어보세요.","₩55,000",스마트 기술,35.896%
C# 자마린 + 몽고DB + nodejs 연동,"직접 DB와 node express를 백엔드로 설치하고 C#으로 윈도우 앱과 스마트폰 앱을 통한 데이터를 저장, 갱신해봅니다. 소켓을 사용하여 채팅 기능까지 구현하는 방법을 빠르게 배워봐요!",무료,스마트 기술,98.338%
C# 자마린 + 몽고DB + nodejs 연동,"직접 DB와 node express를 백엔드로 설치하고 C#으로 윈도우 앱과 스마트폰 앱을 통한 데이터를 저장, 갱신해봅니다. 소켓을 사용하여 채팅 기능까지 구현하는 방법을 빠르게 배워봐요!",무료,데이터 엔지니어,95.790%
C# 자마린 + 몽고DB + nodejs 연동,"직접 DB와 node express를 백엔드로 설치하고 C#으로 윈도우 앱과 스마트폰 앱을 통한 데이터를 저장, 갱신해봅니다. 소켓을 사용하여 채팅 기능까지 구현하는 방법을 빠르게 배워봐요!",무료,앱 개발자,84.192%
Swift 언어로 만드는 고스톱 게임,"iOS 맞고 게임 만들기 Swift
swift를 이용하여 재밌는 맞고 게임을 만들어요.",무료,게임개발자,87.291%
Swift 언어로 만드는 고스톱 게임,"iOS 맞고 게임 만들기 Swift
swift를 이용하여 재밌는 맞고 게임을 만들어요.",무료,보안 엔지니어,38.927%
Swift 언어로 만드는 고스톱 게임,"iOS 맞고 게임 만들기 Swift
swift를 이용하여 재밌는 맞고 게임을 만들어요.",무료,게임 기획자,34.370%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,앱 개발자,63.960%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,인공지능,46.521%
iOS SwiftUI AR 증강현실,"새로운 swiftUI 환경에서 증강현실 AR앱을 제작합니다.
ARKit, RealityKit, Core ML 등을 활용하여 나만의 스노우 앱을 만들어 봅니다.",무료,모바일 앱 개발,43.435%
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료,앱 개발자,82.224%
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료,데이터 분석,71.152%
iOS AutoLayout을 활용한 실전 UI구성 전략 - 카카오톡 같은 고급 UI 만들기,실제 존재하는 iOS 앱의 UI를 다각도로 분석하여 전문가 수준의 화면구성을 할 수 있도록 만들어 드립니다.,무료,인공지능,64.643%
공모전 사례로 풀어보는 앱 개발 프로젝트,"안드로이드 스튜디오 앱을 통해 보청기앱을 만들어 봅니다.
공모전에서 수상한 작품으로 공모전을 준비하는 분들에게 도움이 될 수 있도록 프로젝트 준비 및 진행 과정을 공유합니다.",무료,앱 개발자,99.266%
공모전 사례로 풀어보는 앱 개발 프로젝트,"안드로이드 스튜디오 앱을 통해 보청기앱을 만들어 봅니다.
공모전에서 수상한 작품으로 공모전을 준비하는 분들에게 도움이 될 수 있도록 프로젝트 준비 및 진행 과정을 공유합니다.",무료,모바일 앱 개발,93.237%
공모전 사례로 풀어보는 앱 개발 프로젝트,"안드로이드 스튜디오 앱을 통해 보청기앱을 만들어 봅니다.
공모전에서 수상한 작품으로 공모전을 준비하는 분들에게 도움이 될 수 있도록 프로젝트 준비 및 진행 과정을 공유합니다.",무료,웹 개발자,69.580%
"따라 하다 보면 완성되는, Ionic 훑어보기","Ionic의 전반적인 개발 과정을 이해하고, 모바일 앱에서 가장 많이 사용되는 요소의 개발 방법을 학습합니다.
이를 통해 효율적으로 나만의 하이브리드 모바일 앱 개발을 할 수 있습니다.",무료,모바일 앱 개발,99.787%
"따라 하다 보면 완성되는, Ionic 훑어보기","Ionic의 전반적인 개발 과정을 이해하고, 모바일 앱에서 가장 많이 사용되는 요소의 개발 방법을 학습합니다.
이를 통해 효율적으로 나만의 하이브리드 모바일 앱 개발을 할 수 있습니다.",무료,앱 개발자,96.116%
"따라 하다 보면 완성되는, Ionic 훑어보기","Ionic의 전반적인 개발 과정을 이해하고, 모바일 앱에서 가장 많이 사용되는 요소의 개발 방법을 학습합니다.
이를 통해 효율적으로 나만의 하이브리드 모바일 앱 개발을 할 수 있습니다.",무료,IoT,91.183%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,앱 개발자,97.943%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,모바일 앱 개발,74.565%
MAXST AR SDK와 유니티를 사용한 증강현실 앱 개발,증강현실을 적용한 어플리케이션을 만들어보세요,무료,웹 개발자,64.824%
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료,모바일 앱 개발,81.403%
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료,앱 개발자,75.886%
앨런 iOS Concurrency(동시성) - 디스패치큐와 오퍼레이션큐의 이해,"동시성(Concurrency)프로그래밍 - iOS프로그래밍에서 필요한 동기, 비동기의 개념 및 그를 확장한 GCD 및 Operation에 관한 모든 내용을 다룹니다.",무료,웹 개발자,37.842%
앨런 Swift Concurrency for Swift 6 (Part-1),Swift Concurrency를 A부터 Z까지 다룹니다. (Part 1),무료,게임 기획자,37.957%
앨런 Swift Concurrency for Swift 6 (Part-1),Swift Concurrency를 A부터 Z까지 다룹니다. (Part 1),무료,게임개발자,33.246%
앨런 Swift Concurrency for Swift 6 (Part-1),Swift Concurrency를 A부터 Z까지 다룹니다. (Part 1),무료,사이버 침해 대응,31.500%
[초급] QML 프로그래밍 1편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. C++ 언어 대신 QML을 이용하면 C++을 사용하지 않고도 쉽게 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,무료,인공지능,75.938%
[초급] QML 프로그래밍 1편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. C++ 언어 대신 QML을 이용하면 C++을 사용하지 않고도 쉽게 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,무료,게임개발자,26.233%
[초급] QML 프로그래밍 1편,QML은 Qt에서 제공하는 UI를 만드는 프로그래밍 언어입니다. JSON과 유사하고 JavaScript를 사용할 수 있습니다. C++ 언어 대신 QML을 이용하면 C++을 사용하지 않고도 쉽게 현대적인 고급 UI를 쉽게 개발할 수 있습니다.,무료,웹 개발자,21.709%
Flutter로 SNS 앱 만들기,Flutter의 Provider / StateNotifier 상태 관리와 Firebase를 활용해서 SNS 앱을 제작합니다.,무료,게임개발자,49.343%
Flutter로 SNS 앱 만들기,Flutter의 Provider / StateNotifier 상태 관리와 Firebase를 활용해서 SNS 앱을 제작합니다.,무료,앱 개발자,48.439%
Flutter로 SNS 앱 만들기,Flutter의 Provider / StateNotifier 상태 관리와 Firebase를 활용해서 SNS 앱을 제작합니다.,무료,게임 기획자,42.241%
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)","인스타그램 앱을 따라만들면서 배우는
실전 SwiftUI강의",무료,앱 개발자,80.627%
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)","인스타그램 앱을 따라만들면서 배우는
실전 SwiftUI강의",무료,클라우드 보안,58.365%
"Part2: 초중급 iOS 인스타그램 클론(SwiftUI, MVVM, Firebase, 2024)","인스타그램 앱을 따라만들면서 배우는
실전 SwiftUI강의",무료,모바일 앱 개발,46.142%
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)","왕초보도 들을 수 있는 SwiftUI 강의!
아무것도 몰라도 시작할 수 있습니다.",무료,게임개발자,47.122%
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)","왕초보도 들을 수 있는 SwiftUI 강의!
아무것도 몰라도 시작할 수 있습니다.",무료,정보보안 전문가,46.180%
"Part1: 진짜 왕초보 iOS 배우기(SwiftUI, SwiftData, 2024)","왕초보도 들을 수 있는 SwiftUI 강의!
아무것도 몰라도 시작할 수 있습니다.",무료,인공지능,41.997%
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",무료,앱 개발자,97.548%
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",무료,웹 개발자,65.496%
맛집 지도앱 만들기 (React Native + NestJS),"리액트 네이티브를 이용해서 나만의 맛집 기록앱을 개발하고 출시하는 과정을 배우게 됩니다. 디자인부터 프론트 및 백엔드 개발, 배포까지 전 과정을 준비했어요.",무료,게임개발자,64.567%
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,무료,앱 개발자,98.057%
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,무료,웹 개발자,64.265%
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,무료,데브옵스 엔지니어,59.542%
[Lv.1] 누구나 할 수 있는 - SwiftUI Basic with iOS 17,"iOS 앱개발의 대세인 SwiftUI, 필수로 알아야 할 사항과 최신 개발 트랜드인 MVVM Architecture 바탕으로 실제 AppStore 에 있는 앱을 함께 만들어 봅니다. (📌 모든 강의 자료 PDF 및  실습 Code 파일을 제공합니다)",무료,앱 개발자,99.199%
[Lv.1] 누구나 할 수 있는 - SwiftUI Basic with iOS 17,"iOS 앱개발의 대세인 SwiftUI, 필수로 알아야 할 사항과 최신 개발 트랜드인 MVVM Architecture 바탕으로 실제 AppStore 에 있는 앱을 함께 만들어 봅니다. (📌 모든 강의 자료 PDF 및  실습 Code 파일을 제공합니다)",무료,모바일 앱 개발,93.160%
[Lv.1] 누구나 할 수 있는 - SwiftUI Basic with iOS 17,"iOS 앱개발의 대세인 SwiftUI, 필수로 알아야 할 사항과 최신 개발 트랜드인 MVVM Architecture 바탕으로 실제 AppStore 에 있는 앱을 함께 만들어 봅니다. (📌 모든 강의 자료 PDF 및  실습 Code 파일을 제공합니다)",무료,웹 개발자,66.144%
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,무료,앱 개발자,93.908%
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,무료,게임개발자,89.915%
토스(前) 엔지니어가 알려주는 iOS 입문 - Swift언어부터 샘플앱까지,iOS의 시작. 망설이지 말고 이 강의를 들어보세요. 현업 10년차 이상의 개발자가 꼭 필요한 것만 쏙쏙 뽑아 준비했습니다.,무료,데이터 엔지니어,77.631%
iOS 개발자라면 꼭 알아야할 Swift,"어렵고 복잡한
Swift 언어의 특징을 이해하기 위한 강의 입니다.",무료,웹 개발자,88.810%
iOS 개발자라면 꼭 알아야할 Swift,"어렵고 복잡한
Swift 언어의 특징을 이해하기 위한 강의 입니다.",무료,게임개발자,88.779%
iOS 개발자라면 꼭 알아야할 Swift,"어렵고 복잡한
Swift 언어의 특징을 이해하기 위한 강의 입니다.",무료,앱 개발자,88.631%
앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지,탄탄한 신입 iOS개발자가 되기 위한 기본기 갖추기. 15개의 앱을 만들어 보면서 익히는.. iOS프로그래밍의 기초,무료,앱 개발자,99.781%
앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지,탄탄한 신입 iOS개발자가 되기 위한 기본기 갖추기. 15개의 앱을 만들어 보면서 익히는.. iOS프로그래밍의 기초,무료,모바일 앱 개발,96.931%
앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지,탄탄한 신입 iOS개발자가 되기 위한 기본기 갖추기. 15개의 앱을 만들어 보면서 익히는.. iOS프로그래밍의 기초,무료,게임개발자,94.773%
[2024] React Native로 앱 개발 입문부터 마스터까지,"아이디어는 있는데 앱을 어떻게 개발해야할지 몰랐던 분들,실전 프로젝트 4개를 만들어보면서 앱 개발을 마스터해봅시다!","₩22,000",앱 개발자,99.671%
[2024] React Native로 앱 개발 입문부터 마스터까지,"아이디어는 있는데 앱을 어떻게 개발해야할지 몰랐던 분들,실전 프로젝트 4개를 만들어보면서 앱 개발을 마스터해봅시다!","₩22,000",모바일 앱 개발,95.077%
[2024] React Native로 앱 개발 입문부터 마스터까지,"아이디어는 있는데 앱을 어떻게 개발해야할지 몰랐던 분들,실전 프로젝트 4개를 만들어보면서 앱 개발을 마스터해봅시다!","₩22,000",웹 개발자,77.570%
[초중급편] 안드로이드 데이팅 앱 만들기(Android Kotlin),"코틀린으로 커플 매칭 로직과, FCM을 이용하여 PUSH 메세지를 보내는 법을 실습해볼 수 있어요.
데이팅 앱을 따라만들어 보면서 안드로이드 앱 개발의 전체적을 흐름을 배워볼 수 있습니다.",무료,앱 개발자,95.399%
[초중급편] 안드로이드 데이팅 앱 만들기(Android Kotlin),"코틀린으로 커플 매칭 로직과, FCM을 이용하여 PUSH 메세지를 보내는 법을 실습해볼 수 있어요.
데이팅 앱을 따라만들어 보면서 안드로이드 앱 개발의 전체적을 흐름을 배워볼 수 있습니다.",무료,데브옵스 엔지니어,51.267%
[초중급편] 안드로이드 데이팅 앱 만들기(Android Kotlin),"코틀린으로 커플 매칭 로직과, FCM을 이용하여 PUSH 메세지를 보내는 법을 실습해볼 수 있어요.
데이팅 앱을 따라만들어 보면서 안드로이드 앱 개발의 전체적을 흐름을 배워볼 수 있습니다.",무료,보안 엔지니어,48.049%
UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,"UIKit - iOS14 실무 앱 가이드
입문자를 위한 기초부터 탄탄한 설명을 준비했습니다.
경력자들도 놓치기 쉬운 개념들을 확실하게 잡아드립니다.
실무에서 만들어지는 앱을 확실하게 배울 수 있도록 정성스럽게 준비했습니다.",무료,앱 개발자,97.634%
UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,"UIKit - iOS14 실무 앱 가이드
입문자를 위한 기초부터 탄탄한 설명을 준비했습니다.
경력자들도 놓치기 쉬운 개념들을 확실하게 잡아드립니다.
실무에서 만들어지는 앱을 확실하게 배울 수 있도록 정성스럽게 준비했습니다.",무료,게임개발자,76.956%
UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,"UIKit - iOS14 실무 앱 가이드
입문자를 위한 기초부터 탄탄한 설명을 준비했습니다.
경력자들도 놓치기 쉬운 개념들을 확실하게 잡아드립니다.
실무에서 만들어지는 앱을 확실하게 배울 수 있도록 정성스럽게 준비했습니다.",무료,웹 개발자,58.544%
"SwiftUI의 Property Wrapper(@State, @Binding...)","SwiftUI 초반에 등장하는 데이터 관련 프로퍼티 래퍼에 대해 배웁니다. @State, @Binding, .constant, ObservableObject, @Published, @ObservedObject, @EnvironmentObject, @Environment",무료,데이터 엔지니어,89.004%
"SwiftUI의 Property Wrapper(@State, @Binding...)","SwiftUI 초반에 등장하는 데이터 관련 프로퍼티 래퍼에 대해 배웁니다. @State, @Binding, .constant, ObservableObject, @Published, @ObservedObject, @EnvironmentObject, @Environment",무료,데브옵스 엔지니어,74.440%
"SwiftUI의 Property Wrapper(@State, @Binding...)","SwiftUI 초반에 등장하는 데이터 관련 프로퍼티 래퍼에 대해 배웁니다. @State, @Binding, .constant, ObservableObject, @Published, @ObservedObject, @EnvironmentObject, @Environment",무료,앱 개발자,66.774%
[플러터플로우]코딩 없이 한 달 만에 앱 만들기,세계 1위 노코드 앱빌더인 플러터플로우(FlutterFlow)를 통해 앱을 만들어 보는 입문 강의입니다! 🤗 트위터를 똑같이 만들면서 자연스럽게 개념을 배워나가니까... 쉽고 재밌을 거예요! 🥳,무료,보안 엔지니어,90.615%
[플러터플로우]코딩 없이 한 달 만에 앱 만들기,세계 1위 노코드 앱빌더인 플러터플로우(FlutterFlow)를 통해 앱을 만들어 보는 입문 강의입니다! 🤗 트위터를 똑같이 만들면서 자연스럽게 개념을 배워나가니까... 쉽고 재밌을 거예요! 🥳,무료,웹 개발자,90.359%
[플러터플로우]코딩 없이 한 달 만에 앱 만들기,세계 1위 노코드 앱빌더인 플러터플로우(FlutterFlow)를 통해 앱을 만들어 보는 입문 강의입니다! 🤗 트위터를 똑같이 만들면서 자연스럽게 개념을 배워나가니까... 쉽고 재밌을 거예요! 🥳,무료,앱 개발자,89.818%
Flutter 앱 개발 기초,"Android와 iOS 앱을 하나의 코드로 만들 수 있는 Flutter를 여러가지 앱을 만들며 배우는 수업입니다.
기초 문법과 이론부터 실습까지 비전공자 왕초보 분들도 따라오실 수 있도록 준비했습니다.",무료,앱 개발자,98.896%
Flutter 앱 개발 기초,"Android와 iOS 앱을 하나의 코드로 만들 수 있는 Flutter를 여러가지 앱을 만들며 배우는 수업입니다.
기초 문법과 이론부터 실습까지 비전공자 왕초보 분들도 따라오실 수 있도록 준비했습니다.",무료,모바일 앱 개발,54.124%
Flutter 앱 개발 기초,"Android와 iOS 앱을 하나의 코드로 만들 수 있는 Flutter를 여러가지 앱을 만들며 배우는 수업입니다.
기초 문법과 이론부터 실습까지 비전공자 왕초보 분들도 따라오실 수 있도록 준비했습니다.",무료,웹 개발자,43.574%
윤재성의 자바 기반 안드로이드 앱개발 Part 1 - UI Programming,본 강의는 멋쟁이사자처럼 앱스쿨: 안드로이드 강의를 진행 하시는 윤재성 강사님 강의 입니다.,무료,앱 개발자,98.084%
윤재성의 자바 기반 안드로이드 앱개발 Part 1 - UI Programming,본 강의는 멋쟁이사자처럼 앱스쿨: 안드로이드 강의를 진행 하시는 윤재성 강사님 강의 입니다.,무료,모바일 앱 개발,71.024%
윤재성의 자바 기반 안드로이드 앱개발 Part 1 - UI Programming,본 강의는 멋쟁이사자처럼 앱스쿨: 안드로이드 강의를 진행 하시는 윤재성 강사님 강의 입니다.,무료,웹 개발자,58.401%
앨런 Swift문법 마스터 스쿨 (온라인 BootCamp -  2개월과정),"Swift문법을 제대로 이해, 활용해보고자 하는 철학을 바탕으로 과정이 설계되었습니다. 코딩에 대해 1도 모르는 비전공자를 시작으로 네카라쿠배에 입사할 수 있는 초고급 수준까지 올리는 것을 목표로 하고 있습니다. 그림을 통한 메모리 구조 등의 이해를 통해  직관적으로 이해하고, 전공자의 지식 수준이상으로 올라갈 수 있는 2개월 과정의 부트캠프 입니다.",무료,모바일 앱 개발,50.174%
